Length,Key,Mode,time_signature,Danceability,Acousticness,Energy,liveness,loudness,speechiness,valence,tempo,Genere,Classe
532267,3,0,4,0.378,0.000187,0.733,0.0582,-4.935,0.0331,0.164,118.454,HEAVYMETAL,0
377373,4,0,4,0.488,1.18e-05,0.976,0.067,-4.165,0.142,0.404,143.988,HEAVYMETAL,0
188867,5,1,4,0.439,0.00156,0.987,0.424,-3.576,0.22,0.378,163.393,HEAVYMETAL,0
185016,1,1,4,0.452,0.000103,0.995,0.204,-3.958,0.0752,0.237,100.043,HEAVYMETAL,0
383027,9,1,4,0.235,0.0638,0.988,0.956,-3.687,0.274,0.154,130.002,HEAVYMETAL,0
486227,10,0,4,0.309,8.31e-05,0.882,0.0976,-4.054,0.0629,0.174,123.558,HEAVYMETAL,0
222453,5,1,4,0.319,0.000485,0.967,0.315,-3.485,0.124,0.269,147.947,HEAVYMETAL,0
110427,6,1,4,0.155,3.1e-06,0.998,0.184,-3.958,0.237,0.0616,197.331,HEAVYMETAL,0
259693,6,0,4,0.347,3.26e-05,0.991,0.314,-2.444,0.16,0.449,146.478,HEAVYMETAL,0
293067,9,1,4,0.518,3.72e-05,0.96,0.219,-3.972,0.0661,0.598,137.98,HEAVYMETAL,0
241907,4,0,4,0.663,0.00052,0.91,0.112,-5.131,0.0495,0.708,140.044,HEAVYMETAL,0
414307,1,1,4,0.277,0.000105,0.933,0.952,-8.073,0.0565,0.366,153.551,HEAVYMETAL,0
225464,1,1,4,0.409,0.000332,0.988,0.279,-4.388,0.0533,0.357,94.028,HEAVYMETAL,0
256440,2,1,4,0.348,6.47e-06,0.979,0.103,-4.265,0.419,0.169,195.968,HEAVYMETAL,0
229880,5,0,4,0.516,0.000286,0.699,0.116,-8.643,0.0259,0.52,84.978,HEAVYMETAL,0
265467,8,1,4,0.391,0.00155,0.938,0.0911,-6.23,0.0915,0.254,140.922,HEAVYMETAL,0
318920,4,0,4,0.278,0.117,0.996,0.941,-2.984,0.199,0.202,93.077,HEAVYMETAL,0
242200,6,1,4,0.223,2.99e-06,0.993,0.318,-4.897,0.126,0.231,99.564,HEAVYMETAL,0
402280,9,0,4,0.302,0.00761,0.885,0.96,-6.813,0.0557,0.202,105.586,HEAVYMETAL,0
393013,2,1,4,0.242,1.55e-05,0.991,0.0747,-6.01,0.284,0.0432,117.854,HEAVYMETAL,0
623520,5,0,4,0.445,0.0131,0.86,0.961,-6.056,0.0497,0.143,101.003,HEAVYMETAL,0
310467,2,1,4,0.229,4.15e-05,0.992,0.227,-6.68,0.177,0.0757,172.287,HEAVYMETAL,0
251973,7,1,4,0.485,3.17e-05,0.965,0.145,-2.76,0.0616,0.232,110.944,HEAVYMETAL,0
286867,10,0,4,0.419,2.53e-05,0.866,0.162,-5.739,0.0422,0.118,105.058,HEAVYMETAL,0
310115,0,1,4,0.704,0.0602,0.741,0.0786,-5.969,0.214,0.475,174.043,HEAVYMETAL,0
315067,6,0,4,0.488,0.0024,0.847,0.204,-11.921,0.0563,0.522,103.61,HEAVYMETAL,0
150953,0,0,3,0.35,0.695,0.177,0.224,-18.985,0.0352,0.0643,119.921,HEAVYMETAL,0
505360,1,1,4,0.326,4.95e-05,0.947,0.965,-7.177,0.0612,0.283,116.188,HEAVYMETAL,0
317800,3,0,5,0.11,0.000391,0.939,0.145,-3.975,0.104,0.097,88.58,HEAVYMETAL,0
275853,5,0,4,0.498,0.00031,0.812,0.269,-9.736,0.0333,0.562,87.552,HEAVYMETAL,0
286587,9,0,4,0.435,6.96e-05,0.996,0.0733,-3.548,0.0806,0.45,149.972,HEAVYMETAL,0
277600,11,1,4,0.552,0.00364,0.803,0.108,-5.702,0.0328,0.78,97.602,HEAVYMETAL,0
233827,10,0,4,0.422,4.77e-05,0.85,0.165,-6.349,0.0418,0.111,105.023,HEAVYMETAL,0
287400,2,0,4,0.334,0.000731,0.811,0.389,-7.148,0.042,0.404,132.39,HEAVYMETAL,0
206667,1,1,4,0.315,1.79e-06,0.934,0.339,-9.302,0.107,0.286,84.162,HEAVYMETAL,0
464400,0,1,3,0.343,2.63e-05,0.942,0.0701,-4.756,0.0866,0.369,114.577,HEAVYMETAL,0
336627,1,0,4,0.567,1.92e-05,0.92,0.136,-4.807,0.0672,0.496,141.018,HEAVYMETAL,0
245480,2,1,4,0.414,0.000511,0.904,0.216,-5.388,0.0357,0.6,143.127,HEAVYMETAL,0
353400,10,1,4,0.429,0.000114,0.976,0.0923,-3.877,0.102,0.301,109.821,HEAVYMETAL,0
334013,8,1,4,0.443,0.016,0.961,0.94,-5.165,0.101,0.369,156.402,HEAVYMETAL,0
292040,2,0,4,0.192,3.29e-05,0.943,0.885,-6.446,0.0664,0.449,140.184,HEAVYMETAL,0
265107,11,1,4,0.109,4.37e-06,0.958,0.823,-7.252,0.0884,0.0661,166.506,HEAVYMETAL,0
225800,1,1,4,0.391,1.57e-05,0.995,0.887,-6.274,0.176,0.0357,107.721,HEAVYMETAL,0
274240,5,0,4,0.144,0.556,0.327,0.116,-13.468,0.0467,0.123,75.915,HEAVYMETAL,0
217080,8,1,4,0.563,0.00304,0.871,0.0764,-3.906,0.134,0.555,126.261,HEAVYMETAL,0
283000,11,1,4,0.33,4.29e-05,0.722,0.109,-8.276,0.0332,0.519,103.009,HEAVYMETAL,0
318173,1,1,4,0.317,0.254,0.959,0.998,-8.58,0.14,0.185,125.448,HEAVYMETAL,0
131320,1,1,4,0.201,4.57e-05,0.939,0.305,-11.51,0.0721,0.165,155.03,HEAVYMETAL,0
259053,10,0,4,0.424,2.71e-05,0.976,0.0869,-7.031,0.149,0.249,102.004,HEAVYMETAL,0
199880,0,0,4,0.374,0.00094,0.974,0.274,-10.283,0.041,0.3,96.651,HEAVYMETAL,0
276453,10,0,3,0.169,1.94e-06,0.956,0.187,-5.121,0.126,0.134,109.983,HEAVYMETAL,0
308547,0,1,4,0.251,3.8e-05,0.976,0.0892,-4.359,0.168,0.278,98.904,HEAVYMETAL,0
208120,0,0,4,0.477,0.677,0.45,0.114,-9.464,0.0297,0.178,95.098,HEAVYMETAL,0
277973,1,1,4,0.303,0.00266,0.904,0.172,-3.974,0.113,0.629,139.436,HEAVYMETAL,0
127093,3,1,4,0.373,0.799,0.45,0.153,-13.995,0.0424,0.0382,125.045,HEAVYMETAL,0
358477,8,0,4,0.618,0.221,0.827,0.151,-5.459,0.106,0.469,86.996,HEAVYMETAL,0
198960,1,1,4,0.385,3.75e-05,0.735,0.185,-10.82,0.0393,0.588,86.761,HEAVYMETAL,0
283053,9,1,4,0.523,0.00847,0.604,0.144,-9.768,0.0321,0.549,107.689,HEAVYMETAL,0
225800,1,1,4,0.371,1.6e-05,0.995,0.887,-6.274,0.178,0.0357,107.783,HEAVYMETAL,0
493893,7,0,3,0.173,0.00113,0.964,0.944,-6.809,0.128,0.0756,100.193,HEAVYMETAL,0
163840,10,1,4,0.27,0.182,0.518,0.866,-11.155,0.0365,0.0803,92.316,HEAVYMETAL,0
287453,6,0,4,0.491,0.000129,0.962,0.196,-5.84,0.138,0.0993,104.946,HEAVYMETAL,0
244493,9,1,4,0.416,0.00953,0.625,0.347,-7.109,0.036,0.316,121.404,HEAVYMETAL,0
349200,1,1,4,0.168,9.89e-06,0.936,0.704,-8.777,0.0807,0.147,144.986,HEAVYMETAL,0
256947,7,1,4,0.321,7.25e-06,0.991,0.584,-6.929,0.12,0.0775,137.452,HEAVYMETAL,0
205040,8,0,4,0.29,5.12e-05,0.917,0.15,-5.711,0.047,0.237,180.225,HEAVYMETAL,0
324067,9,0,4,0.243,0.000279,0.993,0.0613,-3.632,0.159,0.188,141.087,HEAVYMETAL,0
358293,0,1,4,0.256,0.000287,0.947,0.147,-6.059,0.118,0.142,146.542,HEAVYMETAL,0
190867,1,1,4,0.375,6.19e-06,0.934,0.135,-4.801,0.213,0.565,182.11,HEAVYMETAL,0
644333,7,1,4,0.275,0.000148,0.895,0.923,-4.982,0.0784,0.304,125.438,HEAVYMETAL,0
205213,2,1,4,0.356,2.36e-05,0.937,0.279,-13.574,0.0745,0.0542,171.337,HEAVYMETAL,0
334001,8,1,4,0.443,0.016,0.961,0.94,-5.165,0.0989,0.371,156.392,HEAVYMETAL,0
233933,10,0,4,0.352,1.77e-05,0.952,0.234,-6.525,0.172,0.315,100.887,HEAVYMETAL,0
246160,5,0,4,0.477,0.00261,0.897,0.133,-3.885,0.0999,0.635,144.863,HEAVYMETAL,0
221000,9,0,4,0.208,3.22e-06,0.881,0.066,-8.029,0.0579,0.55,159.479,HEAVYMETAL,0
239867,2,1,4,0.276,0.000248,0.966,0.315,-4.46,0.097,0.304,110.914,HEAVYMETAL,0
339200,5,0,4,0.216,6.24e-06,0.898,0.0554,-9.364,0.0831,0.155,82.886,HEAVYMETAL,0
196960,1,1,4,0.31,4.64e-05,0.948,0.812,-11.487,0.0399,0.541,153.646,HEAVYMETAL,0
195067,2,1,4,0.347,1.45e-05,0.928,0.179,-6.998,0.0746,0.495,143.559,HEAVYMETAL,0
212533,5,0,4,0.625,0.698,0.878,0.0777,-1.748,0.0383,0.965,105.989,HEAVYMETAL,0
370707,4,0,4,0.391,0.0001,0.955,0.0465,-5.08,0.0865,0.417,145.945,HEAVYMETAL,0
203267,1,1,4,0.311,0.000106,0.971,0.264,-12.157,0.0697,0.0829,127.209,HEAVYMETAL,0
234200,7,1,4,0.281,1.16e-05,0.978,0.0724,-6.087,0.171,0.0731,117.226,HEAVYMETAL,0
121858,4,0,4,0.278,4.64e-06,0.899,0.204,-11.859,0.0818,0.444,111.086,HEAVYMETAL,0
366907,7,1,4,0.248,8.18e-06,0.991,0.0255,-4.289,0.188,0.104,92.406,HEAVYMETAL,0
305817,8,1,4,0.71,0.471,0.659,0.195,-7.637,0.0508,0.887,92.976,HEAVYMETAL,0
320000,1,1,4,0.782,0.00201,0.641,0.0886,-13.247,0.144,0.332,180.036,HEAVYMETAL,0
200520,9,1,4,0.269,7.83e-06,0.88,0.125,-11.468,0.0788,0.412,167.054,HEAVYMETAL,0
278640,11,0,4,0.276,5.83e-05,0.973,0.127,-5.122,0.0914,0.292,105.979,HEAVYMETAL,0
372707,6,0,4,0.45,0.00379,0.98,0.24,-7.572,0.0683,0.0437,173.477,HEAVYMETAL,0
237880,7,1,4,0.255,4.98e-05,0.698,0.0882,-12.67,0.0565,0.129,49.747,HEAVYMETAL,0
345110,11,0,4,0.311,1.89e-05,0.855,0.304,-5.252,0.0589,0.0863,183.958,HEAVYMETAL,0
253693,6,1,3,0.211,7.29e-06,0.98,0.131,-4.316,0.213,0.105,167.846,HEAVYMETAL,0
188658,9,0,4,0.372,1.05e-05,0.928,0.0919,-7.788,0.0909,0.302,115.547,HEAVYMETAL,0
214053,0,0,3,0.547,0.04,0.785,0.151,-7.307,0.046,0.522,110.034,HEAVYMETAL,0
272867,10,0,4,0.516,9.53e-05,0.988,0.248,-4.268,0.0666,0.466,99.923,HEAVYMETAL,0
234200,7,1,4,0.284,1.16e-05,0.978,0.0724,-6.087,0.169,0.0735,117.147,HEAVYMETAL,0
183067,0,0,4,0.113,0.0494,0.96,0.732,-13.167,0.0726,0.231,196.269,HEAVYMETAL,0
317453,9,0,4,0.348,0.000135,0.986,0.297,-3.6,0.118,0.236,179.913,HEAVYMETAL,0
186133,7,1,4,0.24,3.19e-06,0.951,0.0893,-12.906,0.155,0.0705,104.7,HEAVYMETAL,0
164352,11,0,4,0.662,0.764,0.435,0.212,-9.15,0.034,0.56,118.02,ACOUSTIC,1
238220,6,1,4,0.706,0.791,0.349,0.108,-8.125,0.0302,0.624,94.058,ACOUSTIC,1
122344,1,0,4,0.601,0.686,0.29,0.13,-10.925,0.0308,0.268,128.046,ACOUSTIC,1
214925,3,1,3,0.642,0.777,0.326,0.426,-12.117,0.0328,0.367,133.769,ACOUSTIC,1
194874,9,1,4,0.555,0.425,0.453,0.365,-7.566,0.0509,0.636,72.776,ACOUSTIC,1
196534,5,1,4,0.627,0.102,0.628,0.121,-5.111,0.0295,0.296,132.021,ACOUSTIC,1
194885,9,0,4,0.735,0.502,0.686,0.101,-4.476,0.0329,0.961,93.918,ACOUSTIC,1
170538,9,1,4,0.418,0.657,0.384,0.0757,-9.169,0.0522,0.306,90.819,ACOUSTIC,1
226453,3,1,4,0.745,0.806,0.308,0.106,-6.825,0.0498,0.344,100.073,ACOUSTIC,1
162129,11,0,4,0.922,0.496,0.467,0.0824,-3.858,0.104,0.973,96.976,ACOUSTIC,1
105547,6,1,4,0.456,0.654,0.283,0.105,-11.647,0.0464,0.471,136.057,ACOUSTIC,1
243267,2,1,4,0.565,0.762,0.242,0.285,-8.367,0.0318,0.237,81.657,ACOUSTIC,1
189614,0,0,4,0.685,0.585,0.391,0.102,-6.723,0.0339,0.141,90.073,ACOUSTIC,1
192475,10,1,4,0.626,0.639,0.435,0.326,-7.815,0.0365,0.326,101.198,ACOUSTIC,1
243956,2,1,4,0.622,0.897,0.265,0.0893,-9.768,0.0327,0.261,92.821,ACOUSTIC,1
198520,0,1,4,0.418,0.464,0.48,0.101,-8.231,0.12,0.253,177.488,ACOUSTIC,1
212579,9,1,4,0.52,0.807,0.425,0.149,-5.736,0.0383,0.673,92.251,ACOUSTIC,1
205590,1,0,4,0.584,0.616,0.285,0.101,-7.912,0.0315,0.517,81.856,ACOUSTIC,1
186034,10,0,4,0.538,0.522,0.299,0.237,-6.78,0.0327,0.577,150.473,ACOUSTIC,1
194827,11,0,4,0.686,0.459,0.328,0.128,-5.013,0.0353,0.466,80.098,ACOUSTIC,1
153726,0,1,4,0.647,0.391,0.367,0.302,-8.674,0.0304,0.452,152.932,ACOUSTIC,1
204000,0,1,4,0.75,0.379,0.336,0.143,-8.452,0.0296,0.321,115.021,ACOUSTIC,1
146786,11,0,4,0.627,0.697,0.378,0.134,-8.863,0.126,0.643,173.671,ACOUSTIC,1
150619,8,1,4,0.559,0.933,0.235,0.143,-17.28,0.248,0.444,97.165,ACOUSTIC,1
182907,9,0,4,0.743,0.687,0.39,0.314,-6.852,0.0364,0.629,102.017,ACOUSTIC,1
171867,11,0,4,0.741,0.911,0.155,0.1,-12.068,0.0515,0.443,122.051,ACOUSTIC,1
167845,7,0,4,0.892,0.809,0.246,0.196,-8.528,0.0581,0.544,115.998,ACOUSTIC,1
193507,11,1,4,0.69,0.831,0.516,0.168,-4.216,0.0425,0.713,148.104,ACOUSTIC,1
183338,8,1,4,0.802,0.809,0.183,0.109,-17.1,0.403,0.664,91.078,ACOUSTIC,1
194221,7,0,4,0.451,0.967,0.259,0.138,-9.396,0.0389,0.354,102.25,ACOUSTIC,1
238080,9,1,4,0.692,0.844,0.274,0.0969,-11.586,0.0338,0.385,124.832,ACOUSTIC,1
145347,2,0,4,0.645,0.731,0.334,0.113,-6.709,0.0288,0.508,91.337,ACOUSTIC,1
214209,10,0,5,0.55,0.596,0.346,0.0916,-4.689,0.0602,0.809,153.47,ACOUSTIC,1
187584,7,1,4,0.726,0.919,0.223,0.121,-12.551,0.0324,0.661,94.034,ACOUSTIC,1
179782,3,0,4,0.766,0.849,0.283,0.114,-12.752,0.0538,0.474,137.917,ACOUSTIC,1
128372,4,0,4,0.462,0.846,0.277,0.138,-10.701,0.0394,0.328,135.482,ACOUSTIC,1
189532,5,0,4,0.821,0.8,0.17,0.11,-6.535,0.0386,0.396,105.855,ACOUSTIC,1
174268,4,1,4,0.603,0.894,0.328,0.109,-8.155,0.0256,0.387,98.229,ACOUSTIC,1
